Five-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,zip,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
11375,2017,1.68,409.32,345.38,262.04,11375,36081038302,FOREST HILLS,NY,0.0123118233496157,0.0013599274705349,0.000708215297450424,0.01126213592233
11385,2017,5.28,500.35,347.90,276.35,11385,36081056100,RIDGEWOOD,NY,0.000107346047876337,0.00339904826648538,0.0,0.000359026761302438
11418,2017,13.60,565.67,353.46,268.94,11418,36081064102,RICHMOND HILL,NY,0.000534816557920633,0.0,0.0,0.000447507383871833
11421,2017,11.74,866.50,327.27,253.63,11421,36081064102,WOODHAVEN,NY,0.00673744385463454,0.00730994152046783,0.00421940928270042,0.00666423224392915
11434,2017,10.75,741.96,325.09,235.84,11434,36081042600,JAMAICA,NY,0.000478720857867777,0.0063400576368876,0.0,0.000896899291022465
13204,2017,4.92,125.20,.,164.06,13204,36067000100,SYRACUSE,NY,0.0983527131782945,0.385735080058224,0.0841346153846153,0.128931821810633
13208,2017,6.95,173.06,123.74,130.88,13208,36067000100,SYRACUSE,NY,0.00588056372300517,0.116770186335403,0.0163755458515283,0.0144164364640883
15120,2017,15.71,253.29,211.34,146.98,15120,42003310300,HOMESTEAD,PA,0.0472660762418174,0.00131752305665349,0.00345423143350604,0.0421286031042128
15201,2017,2.70,440.31,416.08,277.48,15201,42003020300,PITTSBURGH,PA,0.0149217221135029,0.0977272727272727,0.025531914893617,0.023094688221709
15206,2017,10.51,528.84,349.64,249.14,15206,42003101600,PITTSBURGH,PA,0.000808712529652792,0.0,0.0,0.000682066205893052
15206,2017,10.51,528.84,349.64,249.14,15206,42003120800,PITTSBURGH,PA,0.0369312055208108,0.204394141145139,0.0236869207003089,0.0471989814477991
15206,2017,10.51,528.84,349.64,249.14,15206,42003120700,PITTSBURGH,PA,0.00425921932283804,0.00865512649800266,0.00669412976313079,0.00477446344125136
15206,2017,10.51,528.84,349.64,249.14,15206,42003120400,PITTSBURGH,PA,0.0324563295233987,0.0272969374167776,0.0169927909371781,0.0307384503455802
15206,2017,10.51,528.84,349.64,249.14,15206,42003981800,PITTSBURGH,PA,5.39141686435195e-05,0.00266311584553928,0.0,0.00022735540196435
15207,2017,3.29,305.63,255.39,182.85,15207,42003310300,PITTSBURGH,PA,0.00936087798579728,0.00361010830324909,0.0,0.00869693396226415
15208,2017,1.21,412.96,308.00,203.42,15208,42003120800,PITTSBURGH,PA,0.0,0.00477326968973747,0.0,0.000276052449965493
15208,2017,1.21,412.96,308.00,203.42,15208,42003120700,PITTSBURGH,PA,0.0803738317757009,0.0787589498806682,0.041871921182266,0.0781228433402346
15210,2017,5.19,216.81,193.77,131.40,15210,42003561700,PITTSBURGH,PA,0.0495958350458966,0.0230547550432276,0.0121457489878542,0.0467161479448637
15212,2017,7.40,292.60,261.66,197.19,15212,42003241200,PITTSBURGH,PA,0.0336049452093284,0.0349599417334304,0.023489932885906,0.0332469345030405
15212,2017,7.40,292.60,261.66,197.19,15212,42003250700,PITTSBURGH,PA,0.0249508288845181,0.0269482884195193,0.0145413870246085,0.0246236666334363
15215,2017,2.32,361.37,234.97,161.54,15215,42003980000,PITTSBURGH,PA,0.0,0.0873983739837398,0.0210843373493975,0.00733137829912023
15218,2017,5.78,391.28,244.08,182.78,15218,42003141000,PITTSBURGH,PA,0.0278350515463917,0.00189753320683111,0.00868055555555555,0.0250479521606679
15221,2017,0.52,268.31,189.48,154.73,15221,42003141000,PITTSBURGH,PA,0.0113052415210688,0.00862895493767976,0.0234741784037558,0.0120355834641548
15224,2017,9.18,335.62,.,300.89,15224,42003101600,PITTSBURGH,PA,0.0628487518355359,0.0103397341211225,0.00490196078431372,0.0540807507099641
15233,2017,-6.41,145.92,.,.,15233,42003250700,PITTSBURGH,PA,0.198088618592528,0.318741450068399,0.00626959247648902,0.206145584725536
15235,2017,2.76,266.59,163.52,126.68,15235,42003981800,PITTSBURGH,PA,0.00168123739071956,0.0,0.0,0.00153241048168769
15238,2017,0.11,345.15,198.72,150.24,15238,42003980000,PITTSBURGH,PA,0.0,0.0424107142857142,0.01,0.00678316854449298
19104,2017,8.30,543.58,358.51,267.71,19104,42101008801,PHILADELPHIA,PA,0.0349302877484425,0.0579150579150579,0.0118488253319713,0.0333788059094998
19104,2017,8.30,543.58,358.51,267.71,19104,42101980000,PHILADELPHIA,PA,0.0156110946306733,0.0471042471042471,0.0157303370786516,0.0179955301425129
19111,2017,7.55,498.32,194.13,192.26,19111,42101980200,PHILADELPHIA,PA,0.000192189421894218,0.000868055555555555,0.0,0.000212811236433283
19115,2017,3.72,463.06,213.52,186.16,19115,42101980200,PHILADELPHIA,PA,0.00207442796077445,0.00101214574898785,0.00268096514745308,0.00202675314146736
19116,2017,4.68,580.58,206.74,186.98,19116,42101036400,PHILADELPHIA,PA,0.0240158636897767,0.0526992287917737,0.0612244897959183,0.0263961457555811
19118,2017,5.64,721.58,271.78,208.00,19118,42101980100,PHILADELPHIA,PA,0.000577367205542725,0.00325732899022801,0.00298507462686567,0.00097640358014646
19119,2017,7.62,684.37,260.83,220.97,19119,42101980100,PHILADELPHIA,PA,0.000605281077400317,0.0,0.0,0.000542483216925476
19121,2017,6.13,156.60,.,.,19121,42101980000,PHILADELPHIA,PA,0.000322446911419227,0.00808625336927223,0.00244498777506112,0.000966111771700356
