StateAbbr,PlaceName,city_state,PlaceFIPS,TractFIPS,CountyFIPS,Place_TractID,SFCount
FL,Miami,Miami_FL,1245000,12086001004,12086,1245000-12086001004,1
FL,Orlando,Orlando_FL,1253000,12095012500,12095,1253000-12095012500,1
FL,Orlando,Orlando_FL,1253000,12095013201,12095,1253000-12095013201,1
FL,Lakeland,Lakeland_FL,1238250,12105012001,12105,1238250-12105012001,1
GA,Macon,Macon_GA,1349000,13021010300,13021,1349000-13021010300,2
GA,Macon,Macon_GA,1349000,13021010300,13021,1349000-13021010300,2
GA,Albany,Albany_GA,1301052,13095010900,13095,1301052-13095010900,2
GA,Albany,Albany_GA,1301052,13095010403,13095,1301052-13095010403,1
GA,Albany,Albany_GA,1301052,13095010900,13095,1301052-13095010900,2
GA,Augusta,Augusta_GA,1304204,13245001500,13245,1304204-13245001500,2
GA,Augusta,Augusta_GA,1304204,13245001500,13245,1304204-13245001500,2
IL,Chicago,Chicago_IL,1714000,17031690500,17031,1714000-17031690500,2
IL,Chicago,Chicago_IL,1714000,17031690500,17031,1714000-17031690500,2
IL,Waukegan,Waukegan_IL,1779293,17097861701,17097,1779293-17097861701,3
IL,Waukegan,Waukegan_IL,1779293,17097861701,17097,1779293-17097861701,3
IL,Waukegan,Waukegan_IL,1779293,17097861701,17097,1779293-17097861701,3
IL,Joliet,Joliet_IL,1738570,17197883307,17197,1738570-17197883307,3
IL,Joliet,Joliet_IL,1738570,17197883307,17197,1738570-17197883307,3
IL,Joliet,Joliet_IL,1738570,17197883307,17197,1738570-17197883307,3
IL,Rockford,Rockford_IL,1765000,17201003711,17201,1765000-17201003711,3
IL,Rockford,Rockford_IL,1765000,17201003711,17201,1765000-17201003711,3
IL,Rockford,Rockford_IL,1765000,17201003711,17201,1765000-17201003711,3
IN,Fort Wayne,Fort Wayne_IN,1825000,18003980001,18003,1825000-18003980001,1
IN,Gary,Gary_IN,1827000,18089010900,18089,1827000-18089010900,5
IN,Gary,Gary_IN,1827000,18089010900,18089,1827000-18089010900,5
IN,Gary,Gary_IN,1827000,18089010900,18089,1827000-18089010900,5
IN,Gary,Gary_IN,1827000,18089010900,18089,1827000-18089010900,5
IN,Gary,Gary_IN,1827000,18089010900,18089,1827000-18089010900,5
IN,Indianapolis,Indianapolis_IN,1836003,18097357500,18097,1836003-18097357500,3
IN,Indianapolis,Indianapolis_IN,1836003,18097357500,18097,1836003-18097357500,3
IN,Indianapolis,Indianapolis_IN,1836003,18097357500,18097,1836003-18097357500,3
IN,Bloomington,Bloomington_IN,1805860,18105000502,18105,1805860-18105000502,3
IN,Bloomington,Bloomington_IN,1805860,18105000502,18105,1805860-18105000502,3
IN,Bloomington,Bloomington_IN,1805860,18105000502,18105,1805860-18105000502,3
IN,South Bend,South Bend_IN,1871000,18141011202,18141,1871000-18141011202,1
IN,Lafayette,Lafayette_IN,1840788,18157010800,18157,1840788-18157010800,1
IN,Evansville,Evansville_IN,1822000,18163001800,18163,1822000-18163001800,1
IA,Waterloo,Waterloo_IA,1982425,19013002604,19013,1982425-19013002604,1
IA,Des Moines,Des Moines_IA,1921000,19153011028,19153,1921000-19153011028,2
IA,Des Moines,Des Moines_IA,1921000,19153011028,19153,1921000-19153011028,2
KS,Olathe,Olathe_KS,2052575,20091053801,20091,2052575-20091053801,1
LA,Lake Charles,Lake Charles_LA,2241155,22019001700,22019,2241155-22019001700,1
LA,New Orleans,New Orleans_LA,2255000,22071001500,22071,2255000-22071001500,1
MD,Baltimore,Baltimore_MD,2404000,24510260303,24510,2404000-24510260303,1
MI,Lansing,Lansing_MI,2646000,26065003400,26065,2646000-26065003400,1
MI,Lansing,Lansing_MI,2646000,26065003801,26065,2646000-26065003801,2
MI,Lansing,Lansing_MI,2646000,26065003801,26065,2646000-26065003801,2
MI,Kalamazoo,Kalamazoo_MI,2642160,26077000202,26077,2642160-26077000202,4
MI,Kalamazoo,Kalamazoo_MI,2642160,26077000202,26077,2642160-26077000202,4
MI,Kalamazoo,Kalamazoo_MI,2642160,26077000202,26077,2642160-26077000202,4
MI,Kalamazoo,Kalamazoo_MI,2642160,26077000202,26077,2642160-26077000202,4
MI,Grand Rapids,Grand Rapids_MI,2634000,26081011600,26081,2634000-26081011600,2
MI,Grand Rapids,Grand Rapids_MI,2634000,26081011600,26081,2634000-26081011600,2
MI,Grand Rapids,Grand Rapids_MI,2634000,26081011801,26081,2634000-26081011801,1
MI,Rochester Hills,Rochester Hills_MI,2669035,26125192800,26125,2669035-26125192800,1
MS,Gulfport,Gulfport_MS,2829700,28047003101,28047,2829700-28047003101,1
MO,Springfield,Springfield_MO,2970000,29077004201,29077,2970000-29077004201,1
MO,Independence,Independence_MO,2935000,29095015100,29095,2935000-29095015100,2
MO,Independence,Independence_MO,2935000,29095015100,29095,2935000-29095015100,2
MT,Missoula,Missoula_MT,3050200,30063000901,30063,3050200-30063000901,1
MT,Billings,Billings_MT,3006550,30111001401,30111,3006550-30111001401,1
NE,Omaha,Omaha_NE,3137000,31055007303,31055,3137000-31055007303,1
NJ,Newark,Newark_NJ,3451000,34013006400,34013,3451000-34013006400,4
NJ,Newark,Newark_NJ,3451000,34013006400,34013,3451000-34013006400,4
NJ,Newark,Newark_NJ,3451000,34013006400,34013,3451000-34013006400,4
NJ,Newark,Newark_NJ,3451000,34013006400,34013,3451000-34013006400,4
NJ,Jersey City,Jersey City_NJ,3436000,34017006900,34017,3436000-34017006900,1
NM,Albuquerque,Albuquerque_NM,3502000,35001004300,35001,3502000-35001004300,3
NM,Albuquerque,Albuquerque_NM,3502000,35001004300,35001,3502000-35001004300,3
NM,Albuquerque,Albuquerque_NM,3502000,35001004300,35001,3502000-35001004300,3
NM,Las Cruces,Las Cruces_NM,3539380,35013001102,35013,3539380-35013001102,1
NY,Syracuse,Syracuse_NY,3673000,36067000100,36067,3673000-36067000100,1
NC,Asheville,Asheville_NC,3702140,37021002205,37021,3702140-37021002205,1
NC,Concord,Concord_NC,3714100,37025040703,37025,3714100-37025040703,1
NC,Fayetteville,Fayetteville_NC,3722920,37051002401,37051,3722920-37051002401,2
NC,Fayetteville,Fayetteville_NC,3722920,37051002401,37051,3722920-37051002401,2
NC,Gastonia,Gastonia_NC,3725580,37071033202,37071,3725580-37071033202,2
NC,Gastonia,Gastonia_NC,3725580,37071033202,37071,3725580-37071033202,2
NC,Charlotte,Charlotte_NC,3712000,37119005615,37119,3712000-37119005615,1
NC,Jacksonville,Jacksonville_NC,3734200,37133001102,37133,3734200-37133001102,1
NC,Raleigh,Raleigh_NC,3755000,37183053721,37183,3755000-37183053721,1
NC,Raleigh,Raleigh_NC,3755000,37183053712,37183,3755000-37183053712,1
OH,Columbus,Columbus_OH,3918000,39049009331,39049,3918000-39049009331,1
OH,Dayton,Dayton_OH,3921000,39113080700,39113,3921000-39113080700,1
OH,Dayton,Dayton_OH,3921000,39113001700,39113,3921000-39113001700,3
OH,Dayton,Dayton_OH,3921000,39113001700,39113,3921000-39113001700,3
OH,Dayton,Dayton_OH,3921000,39113001700,39113,3921000-39113001700,3
OK,Oklahoma City,Oklahoma City_OK,4055000,40109107303,40109,4055000-40109107303,1
OR,Portland,Portland_OR,4159000,41051010200,41051,4159000-41051010200,2
OR,Portland,Portland_OR,4159000,41051010200,41051,4159000-41051010200,2
PA,Philadelphia,Philadelphia_PA,4260000,42101038100,42101,4260000-42101038100,2
PA,Philadelphia,Philadelphia_PA,4260000,42101038100,42101,4260000-42101038100,2
SC,North Charleston,North Charleston_SC,4550875,45019005400,45019,4550875-45019005400,1
SC,Charleston,Charleston_SC,4513330,45019004400,45019,4513330-45019004400,1
SC,Columbia,Columbia_SC,4516000,45079011606,45079,4516000-45079011606,1
SC,Rock Hill,Rock Hill_SC,4561405,45091060906,45091,4561405-45091060906,1
SC,Rock Hill,Rock Hill_SC,4561405,45091061302,45091,4561405-45091061302,1
TN,Chattanooga,Chattanooga_TN,4714000,47065011700,47065,4714000-47065011700,1
TN,Knoxville,Knoxville_TN,4740000,47093005604,47093,4740000-47093005604,1
TN,Memphis,Memphis_TN,4748000,47157004500,47157,4748000-47157004500,1
TN,Memphis,Memphis_TN,4748000,47157980100,47157,4748000-47157980100,1
TX,San Antonio,San Antonio_TX,4865000,48029980100,48029,4865000-48029980100,1
TX,San Antonio,San Antonio_TX,4865000,48029172007,48029,4865000-48029172007,1
TX,Dallas,Dallas_TX,4819000,48113019900,48113,4819000-48113019900,1
TX,Dallas,Dallas_TX,4819000,48113015900,48113,4819000-48113015900,1
TX,Dallas,Dallas_TX,4819000,48113016703,48113,4819000-48113016703,1
TX,Odessa,Odessa_TX,4853388,48135000300,48135,4853388-48135000300,3
TX,Odessa,Odessa_TX,4853388,48135000300,48135,4853388-48135000300,3
TX,Odessa,Odessa_TX,4853388,48135000300,48135,4853388-48135000300,3
TX,Longview,Longview_TX,4843888,48183010302,48183,4843888-48183010302,1
TX,Houston,Houston_TX,4835000,48201231700,48201,4835000-48201231700,3
TX,Houston,Houston_TX,4835000,48201350100,48201,4835000-48201350100,1
TX,Houston,Houston_TX,4835000,48201231700,48201,4835000-48201231700,3
TX,Houston,Houston_TX,4835000,48201412800,48201,4835000-48201412800,1
TX,Houston,Houston_TX,4835000,48201231700,48201,4835000-48201231700,3
TX,Houston,Houston_TX,4835000,48201452600,48201,4835000-48201452600,1
TX,Houston,Houston_TX,4835000,48201552002,48201,4835000-48201552002,1
TX,Houston,Houston_TX,4835000,48201233103,48201,4835000-48201233103,1
TX,Midland,Midland_TX,4848072,48329010109,48329,4848072-48329010109,2
TX,Midland,Midland_TX,4848072,48329010109,48329,4848072-48329010109,2
TX,Corpus Christi,Corpus Christi_TX,4817000,48355005802,48355,4817000-48355005802,1
TX,Fort Worth,Fort Worth_TX,4827000,48439110500,48439,4827000-48439110500,1
UT,Layton,Layton_UT,4943660,49011125403,49011,4943660-49011125403,1
UT,Salt Lake City,Salt Lake City_UT,4967000,49035111802,49035,4967000-49035111802,1
UT,Salt Lake City,Salt Lake City_UT,4967000,49035114500,49035,4967000-49035114500,2
UT,Salt Lake City,Salt Lake City_UT,4967000,49035114500,49035,4967000-49035114500,2
UT,Salt Lake City,Salt Lake City_UT,4967000,49035110300,49035,4967000-49035110300,1
UT,Ogden,Ogden_UT,4955980,49057210402,49057,4955980-49057210402,1
VA,Hampton,Hampton_VA,5135000,51650011100,51650,5135000-51650011100,1
VA,Norfolk,Norfolk_VA,5157000,51710006601,51710,5157000-51710006601,1
VA,Portsmouth,Portsmouth_VA,5164000,51740980100,51740,5164000-51740980100,4
VA,Portsmouth,Portsmouth_VA,5164000,51740980100,51740,5164000-51740980100,4
VA,Portsmouth,Portsmouth_VA,5164000,51740980100,51740,5164000-51740980100,4
VA,Portsmouth,Portsmouth_VA,5164000,51740980100,51740,5164000-51740980100,4
VA,Suffolk,Suffolk_VA,5176432,51800075404,51800,5176432-51800075404,1
WA,Vancouver,Vancouver_WA,5374060,53011041110,53011,5374060-53011041110,1
WA,Seattle,Seattle_WA,5363000,53033026500,53033,5363000-53033026500,4
WA,Seattle,Seattle_WA,5363000,53033026500,53033,5363000-53033026500,4
WA,Renton,Renton_WA,5357745,53033026100,53033,5357745-53033026100,1
WA,Kent,Kent_WA,5335415,53033028300,53033,5335415-53033028300,3
WA,Kent,Kent_WA,5335415,53033028300,53033,5335415-53033028300,3
WA,Seattle,Seattle_WA,5363000,53033026001,53033,5363000-53033026001,1
WA,Kent,Kent_WA,5335415,53033028300,53033,5335415-53033028300,3
WA,Seattle,Seattle_WA,5363000,53033026500,53033,5363000-53033026500,4
WA,Seattle,Seattle_WA,5363000,53033026500,53033,5363000-53033026500,4
WA,Tacoma,Tacoma_WA,5370000,53053061602,53053,5370000-53053061602,1
WA,Tacoma,Tacoma_WA,5370000,53053071705,53053,5370000-53053071705,1
WA,Spokane,Spokane_WA,5367000,53063011202,53063,5367000-53063011202,1
WA,Spokane,Spokane_WA,5367000,53063012200,53063,5367000-53063012200,1
WA,Spokane,Spokane_WA,5367000,53063011000,53063,5367000-53063011000,2
WA,Spokane,Spokane_WA,5367000,53063011000,53063,5367000-53063011000,2
WA,Yakima,Yakima_WA,5380010,53077001300,53077,5380010-53077001300,1
WI,Green Bay,Green Bay_WI,5531000,55009020704,55009,5531000-55009020704,1
WI,Milwaukee,Milwaukee_WI,5553000,55079110100,55079,5553000-55079110100,1
WI,Appleton,Appleton_WI,5502375,55087013300,55087,5502375-55087013300,1
WY,Cheyenne,Cheyenne_WY,5613900,56021000402,56021,5613900-56021000402,1
