Place_TractID,SiteId,PM2.5_Exceptional,PM2.5_ExceedCount,PM2.5_Max,Ozone_Exceptional,Ozone_ExceedCount,Ozone_Max
0471510-04013071505,79.0,0,1.0,40.0,0.0,2.0,0.077
0473000-04013810600,85.0,0,0.0,34.5,0.0,0.0,0.068
0477000-04019000100,123.0,0,0.0,21.7,0.0,1.0,0.074
0477000-04019004053,123.0,0,0.0,21.7,0.0,1.0,0.074
0477000-04019004061,123.0,0,0.0,21.7,0.0,1.0,0.074
0477000-04019004310,123.0,0,0.0,21.7,0.0,1.0,0.074
0477000-04019004506,123.0,0,0.0,21.7,0.0,1.0,0.074
0477000-04019004513,123.0,0,0.0,21.7,0.0,1.0,0.074
0477000-04019004613,123.0,0,0.0,21.7,0.0,1.0,0.074
0477000-04019004725,123.0,0,0.0,21.7,0.0,1.0,0.074
0477000-04019004726,123.0,0,0.0,21.7,0.0,1.0,0.074
0477000-04019005300,123.0,0,0.0,21.7,0.0,1.0,0.074
0485540-04027000403,149.0,0,2.0,51.0,0.0,10.0,0.079
0485540-04027000404,149.0,0,2.0,51.0,0.0,10.0,0.079
0485540-04027011107,149.0,0,2.0,51.0,0.0,10.0,0.079
0485540-04027011700,149.0,0,2.0,51.0,0.0,10.0,0.079
0523290-05143010503,165.0,0,0.0,22.2,0.0,0.0,0.063
0523290-05143011001,165.0,0,0.0,22.2,0.0,0.0,0.063
0524550-05131010301,165.0,0,0.0,22.2,0.0,0.0,0.063
0535710-05031000900,165.0,0,0.0,22.2,0.0,0.0,0.063
0541000-05119000200,165.0,0,0.0,22.2,0.0,0.0,0.063
0541000-05119004006,165.0,0,0.0,22.2,0.0,0.0,0.063
0541000-05119004007,165.0,0,0.0,22.2,0.0,0.0,0.063
0566080-05007021311,165.0,0,0.0,22.2,0.0,0.0,0.063
0566080-05007021406,165.0,0,0.0,22.2,0.0,0.0,0.063
0566080-05143010101,165.0,0,0.0,22.2,0.0,0.0,0.063
0566080-05143010102,165.0,0,0.0,22.2,0.0,0.0,0.063
0602000-06059011714,308.0,0,9.0,56.2,0.0,4.0,0.076
0602000-06059075813,308.0,0,9.0,56.2,0.0,4.0,0.076
0602000-06059087703,308.0,0,9.0,56.2,0.0,4.0,0.076
0602000-06059088402,308.0,0,9.0,56.2,0.0,4.0,0.076
0602000-06059110201,308.0,0,9.0,56.2,0.0,4.0,0.076
0602252-06013313103,183.0,0,6.0,89.4,0.0,0.0,0.07
0602364-06071009708,356.0,0,0.0,29.3,0.0,17.0,0.081
0603526-06029000906,243.0,0,2.0,56.0,0.0,85.0,0.104
0603526-06029000907,243.0,0,2.0,56.0,0.0,85.0,0.104
0603526-06029000909,243.0,0,2.0,56.0,0.0,85.0,0.104
0603526-06029001000,243.0,0,2.0,56.0,0.0,85.0,0.104
0603526-06029001201,243.0,0,2.0,56.0,0.0,85.0,0.104
0603526-06029002700,243.0,0,2.0,56.0,0.0,85.0,0.104
0603526-06029003103,243.0,0,2.0,56.0,0.0,85.0,0.104
0603526-06029003807,243.0,0,2.0,56.0,0.0,85.0,0.104
0603526-06029003810,243.0,0,2.0,56.0,0.0,85.0,0.104
0603526-06029003811,243.0,0,2.0,56.0,0.0,85.0,0.104
0603526-06029005103,243.0,0,2.0,56.0,0.0,85.0,0.104
0603666-06037406901,274.0,0,0.0,19.2,0.0,36.0,0.1
0603666-06037407001,274.0,0,0.0,19.2,0.0,36.0,0.1
0611194-06073017107,376.0,0,0.0,27.4,0.0,6.0,0.083
0611194-06073017110,376.0,0,0.0,27.4,0.0,6.0,0.083
0611530-06037543100,267.0,0,5.0,66.7,0.0,5.0,0.076
0613210-06071000107,361.0,0,1.0,39.2,0.0,49.0,0.118
0613210-06071000115,361.0,0,1.0,39.2,0.0,49.0,0.118
0613210-06071001704,361.0,0,1.0,39.2,0.0,49.0,0.118
0613392-06073003207,369.0,0,1.0,42.7,0.0,1.0,0.074
0613392-06073010103,369.0,0,1.0,42.7,0.0,1.0,0.074
0613588-06067008130,315.0,0,0.0,28.2,0.0,9.0,0.088
0615044-06037541100,267.0,0,5.0,66.7,0.0,5.0,0.076
0615044-06037541801,267.0,0,5.0,66.7,0.0,5.0,0.076
0615044-06037541802,267.0,0,5.0,66.7,0.0,5.0,0.076
0615044-06037542103,267.0,0,5.0,66.7,0.0,5.0,0.076
0615044-06037542104,267.0,0,5.0,66.7,0.0,5.0,0.076
0615044-06037542106,267.0,0,5.0,66.7,0.0,5.0,0.076
0615044-06037543305,267.0,0,5.0,66.7,0.0,5.0,0.076
0616000-06013313204,183.0,0,6.0,89.4,0.0,0.0,0.07
0616000-06013315000,183.0,0,6.0,89.4,0.0,0.0,0.07
0616000-06013355200,183.0,0,6.0,89.4,0.0,0.0,0.07
0616000-06013355306,183.0,0,6.0,89.4,0.0,0.0,0.07
0616350-06065041409,361.0,0,1.0,39.2,0.0,49.0,0.118
0616350-06065041412,361.0,0,1.0,39.2,0.0,49.0,0.118
0616350-06065041909,361.0,0,1.0,39.2,0.0,49.0,0.118
0616350-06065041910,361.0,0,1.0,39.2,0.0,49.0,0.118
0616532-06059063101,308.0,0,9.0,56.2,0.0,4.0,0.076
0621712-06073015403,378.0,0,0.0,31.8,0.0,9.0,0.081
0621712-06073016503,378.0,0,0.0,31.8,0.0,9.0,0.081
0621712-06073016616,378.0,0,0.0,31.8,0.0,9.0,0.081
0621712-06073016807,378.0,0,0.0,31.8,0.0,9.0,0.081
0621712-06073016809,378.0,0,0.0,31.8,0.0,9.0,0.081
0622020-06067009325,341.0,0,2.0,44.5,0.0,3.0,0.077
0622230-06037431501,274.0,0,0.0,19.2,0.0,36.0,0.1
0622230-06037431502,274.0,0,0.0,19.2,0.0,36.0,0.1
0622230-06037432102,274.0,0,0.0,19.2,0.0,36.0,0.1
0622230-06037432902,274.0,0,0.0,19.2,0.0,36.0,0.1
0622804-06073020401,376.0,0,0.0,27.4,0.0,6.0,0.083
0624680-06071002204,361.0,0,1.0,39.2,0.0,49.0,0.118
0624680-06071002501,361.0,0,1.0,39.2,0.0,49.0,0.118
0624680-06071009202,361.0,0,1.0,39.2,0.0,49.0,0.118
0627000-06019000800,202.0,0,23.0,74.2,0.0,64.0,0.112
0627000-06019001500,202.0,0,23.0,74.2,0.0,64.0,0.112
0627000-06019001900,202.0,0,23.0,74.2,0.0,64.0,0.112
0627000-06019003004,202.0,0,23.0,74.2,0.0,64.0,0.112
0627000-06019004506,202.0,0,23.0,74.2,0.0,64.0,0.112
0627000-06019004602,202.0,0,23.0,74.2,0.0,64.0,0.112
0627000-06019004902,202.0,0,23.0,74.2,0.0,64.0,0.112
0628000-06059001503,308.0,0,9.0,56.2,0.0,4.0,0.076
0628000-06059011712,308.0,0,9.0,56.2,0.0,4.0,0.076
0628000-06059086701,308.0,0,9.0,56.2,0.0,4.0,0.076
0629000-06059087503,308.0,0,9.0,56.2,0.0,4.0,0.076
0629000-06059087602,308.0,0,9.0,56.2,0.0,4.0,0.076
0629000-06059087806,308.0,0,9.0,56.2,0.0,4.0,0.076
0629000-06059087902,308.0,0,9.0,56.2,0.0,4.0,0.076
0629000-06059088104,308.0,0,9.0,56.2,0.0,4.0,0.076
0629000-06059088904,308.0,0,9.0,56.2,0.0,4.0,0.076
0630000-06037300501,274.0,0,0.0,19.2,0.0,36.0,0.1
0632548-06037601700,267.0,0,5.0,66.7,0.0,5.0,0.076
0632548-06037602301,267.0,0,5.0,66.7,0.0,5.0,0.076
0633000-06001435200,168.0,0,7.0,70.2,0.0,2.0,0.1
0633182-06065043308,366.0,0,1.0,38.2,0.0,112.0,0.136
0633182-06065043310,366.0,0,1.0,38.2,0.0,112.0,0.136
0633434-06071010009,356.0,0,0.0,29.3,0.0,17.0,0.081
0636000-06059099702,308.0,0,9.0,56.2,0.0,4.0,0.076
0636000-06059099703,308.0,0,9.0,56.2,0.0,4.0,0.076
0636448-06065045215,330.0,0,0.0,18.8,0.0,44.0,0.093
0636448-06065045226,330.0,0,0.0,18.8,0.0,44.0,0.093
0636448-06065045606,330.0,0,0.0,18.8,0.0,44.0,0.093
0636546-06037601501,267.0,0,5.0,66.7,0.0,5.0,0.076
0636546-06037601700,267.0,0,5.0,66.7,0.0,5.0,0.076
0636546-06037601802,267.0,0,5.0,66.7,0.0,5.0,0.076
0636546-06037703002,265.0,0,1.0,37.5,0.0,14.0,0.086
0636770-06059052404,308.0,0,9.0,56.2,0.0,4.0,0.076
0639892-06037571503,267.0,0,5.0,66.7,0.0,5.0,0.076
0640130-06037900201,281.0,0,0.0,26.6,0.0,43.0,0.087
0640130-06037901102,281.0,0,0.0,26.6,0.0,43.0,0.087
0641992-06001450752,167.0,0,2.0,41.5,0.0,6.0,0.086
0643000-06037572800,267.0,0,5.0,66.7,0.0,5.0,0.076
0643000-06037573403,267.0,0,5.0,66.7,0.0,5.0,0.076
0643000-06037574700,267.0,0,5.0,66.7,0.0,5.0,0.076
0643000-06037575500,267.0,0,5.0,66.7,0.0,5.0,0.076
0643000-06037980033,267.0,0,5.0,66.7,0.0,5.0,0.076
0644000-06037980008,265.0,0,1.0,37.5,0.0,14.0,0.086
0644000-06037980010,265.0,0,1.0,37.5,0.0,14.0,0.086
0644000-06037980014,267.0,0,5.0,66.7,0.0,5.0,0.076
0644000-06037980015,267.0,0,5.0,66.7,0.0,5.0,0.076
0644000-06037980019,265.0,0,1.0,37.5,0.0,14.0,0.086
0644000-06037980024,265.0,0,1.0,37.5,0.0,14.0,0.086
0645484-06077005119,383.0,0,21.0,51.5,0.0,2.0,0.079
0645484-06077005131,383.0,0,21.0,51.5,0.0,2.0,0.079
0646842-06065042716,366.0,0,1.0,38.2,0.0,112.0,0.136
0646842-06065043235,366.0,0,1.0,38.2,0.0,112.0,0.136
0646842-06065050700,366.0,0,1.0,38.2,0.0,112.0,0.136
0647766-06085504417,417.0,0,6.0,49.7,0.0,4.0,0.098
0648354-06099000402,440.0,0,25.0,74.5,0.0,21.0,0.098
0648354-06099000501,440.0,0,25.0,74.5,0.0,21.0,0.098
0648354-06099002402,440.0,0,25.0,74.5,0.0,21.0,0.098
0648354-06099002501,440.0,0,25.0,74.5,0.0,21.0,0.098
0649670-06085504601,397.0,0,6.0,60.8,0.0,2.0,0.086
0649670-06085510001,417.0,0,6.0,49.7,0.0,4.0,0.098
0650076-06065051200,366.0,0,1.0,38.2,0.0,112.0,0.136
