Site_EPA_ID,City,County_FIPS,County,State,StateAbbr,Longitude,Latitude,EXPOSURE_SCORE,RISK_SCORE,CRSI_SCORE
ALN000410750,Birmingham,1073,Jefferson,Alabama,AL,-86.799671,33.557464,87.642,91.456,0.394342983
AL7210020742,Huntsville,1089,Madison,Alabama,AL,-86.673055,34.646944,92.155,80.38300000000001,0.610158386
AL0001058056,Montgomery,1101,Montgomery,Alabama,AL,-86.306,32.382,61.458,51.894,1.011868815
ALD007454085,Montgomery,1101,Montgomery,Alabama,AL,-86.3791,32.3761,61.458,51.894,1.011868815
AK6214522157,Anchorage,2020,Anchorage Municipality,Alaska,AK,-149.7,61.258333,29.115000000000002,7.792000000000001,25.800322474
AZ7570028582,Chandler,4013,Maricopa,Arizona,AZ,-111.6519,33.30695,71.283,66.164,2.1108892172
AZD009004177,Phoenix,4013,Maricopa,Arizona,AZ,-111.9708,33.461669,71.283,66.164,2.1108892172
AZD980695969,Scottsdale,4013,Maricopa,Arizona,AZ,-111.9083,33.466669,71.283,66.164,2.1108892172
AZD980737530,Tucson,4019,Pima,Arizona,AZ,-110.9333,32.105561,51.315999999999995,22.472,7.0010136222
AZ0971590062,Yuma,4027,Yuma,Arizona,AZ,-114.5888,32.654581,50.44499999999999,17.942,5.6770203634
CA0001576081,Oakland,6001,Alameda,California,CA,-122.29375,37.8025,82.817,50.05500000000001,1.4361987882
CA2890012584,Livermore,6001,Alameda,California,CA,-121.7047,37.688061,82.817,50.05500000000001,1.4361987882
CA2890090002,Livermore,6001,Alameda,California,CA,-121.576667,37.644306,82.817,50.05500000000001,1.4361987882
CA7170024528,Concord,6013,Contra Costa,California,CA,-122.0,38.049444,75.604,65.061,1.1752322969
CAD981436363,Richmond,6013,Contra Costa,California,CA,-122.3654,37.9226,75.604,65.061,1.1752322969
CAD980636914,Fresno,6019,Fresno,California,CA,-119.8261,36.704169,56.323,24.091,5.0140075844
CAD980736284,Fresno,6019,Fresno,California,CA,-119.8094,36.8425,56.323,24.091,5.0140075844
