TractFIPS,tract,usps_zip_pref_state,usps_zip_pref_city,StateAbbr,PlaceName
51740980100,51740980100.0,VA,PORTSMOUTH,VA,Portsmouth
51740980100,51740980100.0,VA,PORTSMOUTH,VA,Portsmouth
51680000500,51680000500.0,VA,LYNCHBURG,VA,Lynchburg
54039012300,54039012300.0,WV,ALUM CREEK,WV,Charleston
54039012300,54039012300.0,WV,CHARLESTON,WV,Charleston
54039012300,54039012300.0,WV,SOUTH CHARLESTON,WV,Charleston
54039012300,54039012300.0,WV,CHARLESTON,WV,Charleston
54039012300,54039012300.0,WV,CHARLESTON,WV,Charleston
54039012300,54039012300.0,WV,CHARLESTON,WV,Charleston
54039011000,54039011000.0,WV,ELKVIEW,WV,Charleston
54039011000,54039011000.0,WV,CHARLESTON,WV,Charleston
54039011000,54039011000.0,WV,CHARLESTON,WV,Charleston
54039012800,54039012800.0,WV,SOUTH CHARLESTON,WV,Charleston
54039012800,54039012800.0,WV,SOUTH CHARLESTON,WV,Charleston
54039012800,54039012800.0,WV,CHARLESTON,WV,Charleston
54039012800,54039012800.0,WV,CHARLESTON,WV,Charleston
54039011401,54039011401.0,WV,CHARLESTON,WV,Charleston
54039011401,54039011401.0,WV,CHARLESTON,WV,Charleston
37067002801,37067002801.0,NC,KING,NC,Winston-Salem
37067002801,37067002801.0,NC,PFAFFTOWN,NC,Winston-Salem
37067002801,37067002801.0,NC,TOBACCOVILLE,NC,Winston-Salem
37067002801,37067002801.0,NC,WINSTON SALEM,NC,Winston-Salem
37067004011,37067004011.0,NC,LEWISVILLE,NC,Winston-Salem
37067004011,37067004011.0,NC,WINSTON SALEM,NC,Winston-Salem
37067003003,37067003003.0,NC,WALKERTOWN,NC,Winston-Salem
37067003003,37067003003.0,NC,WINSTON SALEM,NC,Winston-Salem
37067003003,37067003003.0,NC,KERNERSVILLE,NC,Winston-Salem
37067003402,37067003402.0,NC,WINSTON SALEM,NC,Winston-Salem
37067003402,37067003402.0,NC,KERNERSVILLE,NC,Winston-Salem
37081015100,37081015100.0,NC,BROWNS SUMMIT,NC,Greensboro
37081015100,37081015100.0,NC,ELON,NC,Greensboro
37081015100,37081015100.0,NC,GIBSONVILLE,NC,Greensboro
37081015100,37081015100.0,NC,MC LEANSVILLE,NC,Greensboro
37081015100,37081015100.0,NC,REIDSVILLE,NC,Greensboro
37081015100,37081015100.0,NC,GREENSBORO,NC,Greensboro
37081017200,37081017200.0,NC,BURLINGTON,NC,Greensboro
37081017200,37081017200.0,NC,JULIAN,NC,Greensboro
