SiteId,Latitude,Longitude,Sample Duration,PM2.5_Exceptional,PM2.5_ExceedCount,PM2.5_Max,State,County,City,index,Ozone_Exceptional,Ozone_ExceedCount,Ozone_Max,StateAbbr,city_state
183,37.936013,-122.026154,24-HR BLK AVG,0,6.0,89.4,California,Contra Costa,Concord,4392,0.0,0.0,0.07,CA,Concord_CA
202,36.78538,-119.77321,24-HR BLK AVG,0,23.0,74.2,California,Fresno,Fresno,4870,0.0,64.0,0.112,CA,Fresno_CA
210,36.72639,-119.733,24 HOUR,0,9.0,88.3,California,Fresno,Fresno,5361,,,,CA,Fresno_CA
241,35.385574,-119.015009,24 HOUR,0,9.0,74.3,California,Kern,Bakersfield,6078,,,,CA,Bakersfield_CA
243,35.356615,-119.062613,24 HOUR,0,2.0,56.0,California,Kern,Bakersfield,6114,0.0,85.0,0.104,CA,Bakersfield_CA
245,35.324636,-118.997627,24 HOUR,0,10.0,80.1,California,Kern,Bakersfield,6421,,,,CA,Bakersfield_CA
265,34.06659,-118.22688,24 HOUR,0,1.0,37.5,California,Los Angeles,Los Angeles,7072,0.0,14.0,0.086,CA,Los Angeles_CA
267,33.901389,-118.205,24 HOUR,0,5.0,66.7,California,Los Angeles,Compton,7532,0.0,5.0,0.076,CA,Compton_CA
274,34.1326,-118.1272,24 HOUR,0,0.0,19.2,California,Los Angeles,Pasadena,7703,0.0,36.0,0.1,CA,Pasadena_CA
275,33.82376,-118.18921,24 HOUR,0,4.0,55.3,California,Los Angeles,Long Beach,7749,,,,CA,Long Beach_CA
276,33.79236,-118.17533,24-HR BLK AVG,0,8.0,59.4,California,Los Angeles,Long Beach,7764,,,,CA,Long Beach_CA
278,33.859662,-118.200707,24-HR BLK AVG,0,10.0,89.9,California,Los Angeles,Long Beach,7825,,,,CA,Long Beach_CA
281,34.669739,-118.130511,24-HR BLK AVG,0,0.0,26.6,California,Los Angeles,Lancaster,8020,0.0,43.0,0.087,CA,Lancaster_CA
304,36.694261,-121.623271,24-HR BLK AVG,0,1.0,42.2,California,Monterey,Salinas,8610,0.0,0.0,0.07,CA,Salinas_CA
308,33.83062,-117.93845,24-HR BLK AVG,0,9.0,56.2,California,Orange,Anaheim,8722,0.0,4.0,0.076,CA,Anaheim_CA
315,38.74643,-121.26498,24 HOUR,0,0.0,28.2,California,Placer,Roseville,8942,0.0,9.0,0.088,CA,Roseville_CA
330,33.70853,-116.21537,24 HOUR,0,0.0,18.8,California,Riverside,Indio,9272,0.0,44.0,0.093,CA,Indio_CA
341,38.56844,-121.49311,24 HOUR,0,2.0,44.5,California,Sacramento,Sacramento,10216,0.0,3.0,0.077,CA,Sacramento_CA
345,38.593322,-121.503795,24 HOUR,0,2.0,46.9,California,Sacramento,Sacramento,10485,,,,CA,Sacramento_CA
355,34.030833,-117.61722,24-HR BLK AVG,0,7.0,51.3,California,San Bernardino,Ontario,10675,,,,CA,Ontario_CA
356,34.510961,-117.32554,24-HR BLK AVG,0,0.0,29.3,California,San Bernardino,Victorville,10708,0.0,17.0,0.081,CA,Victorville_CA
