 ZIP Code,Year,AnnualChange (%),HPI,HPI with 1990 base,HPI with 2000 base,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
76705,2017,13.86,227.18,.,184.33,48309001600,WACO,TX,0.20910648,0.45049505,0.286885246,0.223313861
76901,2017,2.1,479.69,279.57,198.82,48451001704,SAN ANGELO,TX,0.142031844,0.052935515,0.027863777,0.133710465
76903,2017,0.3,293.01,261.86,204.43,48451001704,SAN ANGELO,TX,0.000131874,0.000407,0,0.000164817
76904,2017,2.91,478.75,241.61,189.78,48451001704,SAN ANGELO,TX,0.070075222,0.054140127,0.058139535,0.068776785
76905,2017,7.3,272.55,.,227.38,48451001704,SAN ANGELO,TX,0.00056872,0,0,0.00054605
77014,2017,.,.,.,.,48201550402,HOUSTON,TX,0.291640915,0.02425876,0.153846154,0.269084774
77014,2017,.,.,.,.,48201550401,HOUSTON,TX,0.392228059,0.073674753,0.207100592,0.365106144
77014,2017,.,.,.,.,48201551000,HOUSTON,TX,0.002008653,0.088050314,0.065088757,0.009489667
77015,2017,15.59,227.81,221.82,176.03,48201232900,HOUSTON,TX,0.1457091,0.055926116,0.055636896,0.1349181
77015,2017,15.59,227.81,221.82,176.03,48201233101,HOUSTON,TX,0.075499093,0.076449461,0.112737921,0.07674408
77015,2017,15.59,227.81,221.82,176.03,48201233103,HOUSTON,TX,0.092299715,0.078501796,0.238653001,0.095633526
77015,2017,15.59,227.81,221.82,176.03,48201252500,HOUSTON,TX,0.010733731,0.089789636,0.029282577,0.018341926
77016,2017,40.73,154.53,.,.,48201231700,HOUSTON,TX,0,0,0.004291845,7.89E-05
77031,2017,.,.,.,.,48157671800,HOUSTON,TX,0.00228833,0.049907579,0.037383178,0.006386228
77032,2017,.,119.71,.,.,48201980100,HOUSTON,TX,0,0.084226646,0.028481013,0.02368636
77032,2017,.,119.71,.,.,48201240400,HOUSTON,TX,0.177874187,0.08575804,0.215189873,0.154914239
77034,2017,3.43,234.15,.,174.58,48201324000,HOUSTON,TX,0.008529391,0.022857143,0.029090909,0.010162602
77037,2017,20.44,211.19,.,174.45,48201222401,HOUSTON,TX,0.205913411,0.303921569,0.417355372,0.23289509
77038,2017,-7.33,174.3,.,155.21,48201550500,HOUSTON,TX,0,0.001694915,0,9.85E-05
77039,2017,15.58,326.8,.,244.74,48201222300,HOUSTON,TX,0.129889727,0.126066351,0.078091106,0.127134538
77040,2017,0.68,345.97,231.31,173.1,48201540100,HOUSTON,TX,0,0.000371747,0,4.64E-05
77040,2017,0.68,345.97,231.31,173.1,48201532501,HOUSTON,TX,0.158718977,0.013011152,0.005089059,0.137716488
77041,2017,-7.03,214.2,255.88,176.79,48201540100,HOUSTON,TX,0.336083608,0.464793082,0.358834244,0.362078363
77043,2017,6.59,495.23,373.04,272.21,48201540100,HOUSTON,TX,0,0.002216066,0,0.000291184
77047,2017,5.34,137.66,.,.,48201330800,HOUSTON,TX,0.294206422,0.524701874,0.376623377,0.305456278
77048,2017,12.37,121.79,.,.,48201330800,HOUSTON,TX,0.24381946,0.420600858,0.555555556,0.250192202
77049,2017,.,.,.,.,48201232403,HOUSTON,TX,0.0939524,0.036585366,0.018348624,0.090574374
77049,2017,.,.,.,.,48201252200,HOUSTON,TX,0.338353492,0.356707317,0.385321101,0.339617084
77049,2017,.,.,.,.,48201232900,HOUSTON,TX,0.006632852,0.077743902,0.073394495,0.010603829
77053,2017,9.02,361.03,443.12,181.34,48201330800,HOUSTON,TX,0,0.005333333,0,0.000198491
77053,2017,9.02,361.03,443.12,181.34,48157670700,HOUSTON,TX,0.001450777,0.04,0,0.002878126
77058,2017,6.39,177.37,182.4,156.15,48201341301,HOUSTON,TX,0.302485694,0.047948591,0.135761589,0.260641054
77064,2017,.,.,.,.,48201532501,HOUSTON,TX,5.87E-05,0.013166557,0.003717472,0.0011681
